[1.700s] This call is now being recorded.
[9s]  Last time, the resolution is really bad, so I want to make sure the resolution is set up, right?
[1556.900s]  Where it only shows the Japanese. So basically, it's this
[1561.300s]  Form right here.
[1563.400s]  Yeah right here, but it's it's always filtered to Japanese. Perfect. Only shows those, but it's got all the statuses and stuff and they can still change all the statuses that right? Yeah. Okay. And then still have invoices and products but only do you want them to be able to modify the Japanese products or no?
[1581.400s]  yes, that would
[1583.500s]  Then we put the pressure on her to do it. So,
[1587s]  um, where Michigan dump the CSV. Yeah. The CSV will have to figure out what the sample looks like. Like
[1596.100s]  I'm Japanese will be really easy.
[1598.400s]  Japanese will really easy. So that's the cool part Chinese and Korean.
[1603.600s]  We could probably make it easy to work with them.
[1606.300s]  Perfect. And last request, the Japanese supplier login.
[1611.800s]  Could you make it so that it is Japanese native?
[1618.700s]  I can try. Yeah. Sorry. Like all of it. Yeah because yeah, she and her internationalization is a beast but I will.
[1629.700s]  If nothing I just say most browsers have translation bill. Yeah.
[1636s]  this is that building flutter and so I
[1639.900s]  it translation is a little bit harder.
[1644.600s]  It's gonna take me some extra time. I can do it for sure, but it's gonna take me some time.
[1650.100s]  I find me for it. Hey,
[1654.400s]  So, the way that I was thinking of this is that like we've got the initial price, quote, that was 1,000. And then I'm gonna just like wrap that into, you know,
[1664.400s]  The first month or whatever, of like bug fixes and like, whatever's still missing from the initial stuff. Anything. That's like a minor feature, right? Big features like that. Like, the initialization, I will, you know, build more for once we're done with that, but just anything existing. And then if we want to continue, like, if you want me to continue maintaining it, we can do that on an ongoing basis. I didn't know if you guys had like another person, another developer that you want to meet a transfer, you know, the code to or ownership.
[1690.900s]  For maintenance longer term. I'm happy to still do it, you know, my right? But
[1696.800s]  Like, oh, that's you. You're not Adobe right now. That's my goal. Then, no, not under Dhabi, I think. Oh yeah. Oh that's yeah. So it just need to see how busy because we keep him busy with other stuff too. And like, depending on the bug fixer, like the feature, the maintenance isn't gonna be huge. I just don't want to be like, hey,
[1721.700s]  Five years of like, I don't want to be like a five years of Maintenance included in your initial because I just don't have time for that. But if, you know, we have a good business relationship, so we're finding with that.
[1732.200s]  Yeah, as far as running costs, really, none of this is that much like it's on Google cloud. And the billing isn't crazy if it becomes that which so right now,
[1745.100s]  Let me just go look at the gcloud.
[1754.200s]  It's just for like hosting the website. Oh, also, like the name of it. I just needed WS Seeker because I was kind of like a play on. Yeah, Seeker from the games, but we can put this at whatever domain you want, if you care about that, okay?
[1769.200s]  This one is Ws, Seeker.
[1780.300s]  Like it's not a heavy compute thing, it's cost me 82 cents in the last, you know, whatever. So like I said like don't even worry about that. We can still transfer if you want to transfer to your billing account depending on usage and stuffy is people getting here and stuff? The biggest thing honestly is the audit logs and not on a different service called neon and they have a free tier that should, you know,
[1805s]  Should handle your guys's operations for, like, 12 years. I think, you know, and we keep all the audit logs forever. It's like half a gigabyte, but these are text logs and so they're super small. They're like instead of. Yeah, so that's just a structure organization but all that is laid out in the code base, pretty easily. So I would like to, you know, transfer ownership to you guys via GitHub, not all obviously stay on as a maintainer as long as you want me to, but if you have another Dev, I
[1834.100s]  You know, you're paying me for this. I want to give you ownership as much as you need to be able to continue to maintain it and update it and stuff in the future. Because yeah, I'm hoping this is a long term thing for you guys.
[1845.200s]  Me too Taylor. Yeah.
[1849.600s]  So I'm hoping I am also a long-term thing. So no, you're you're yeah, just depends on how you are.
[1859.800s]  Yeah, this looks great.
[1862.100s]  Great, I'm glad you think so. I was it's kind of hard not knowing like the process and not having seen what you guys work on day in and day out. Yeah, so one thing I didn't say is Shopify, login is integrated so that you can only log in if you are a member on the Shopify thing, or I need to put in whatever emails you guys want to use for the supplier and the admin stuff. So I'll just send me those emails and I'll get those accounts set up with those specific roles. But by default, if you are
[1893.600s]  You know, a member on that Shopify list, you'll log in, as this wholesaler thing and you'll have your own login and stuff, okay?
[1901.800s]  Cool. So
[1903.900s]  just quick high level run through. They log in, they go order new order, they choose what products they want.
[1912.400s]  Then it should take them to the order screen after, right? Like you. Yeah. This is like a review and submit and then it takes them back to the list.
[1923.200s]  But with the new one on top. So yeah. So then you
[1928.600s]  Okay, perfect. And then we're gonna have to build a process where they understand what they're being quote for initially is just a sample quote.
[1936.800s]  that's way for the initial, the final quote from
[1940.100s]  Taylor or Japanese supplier.
[1942.400s]  What's the clarify? You wanted the back quote thing right now. It's only on Japanese but you want to on all of them right? Yeah, okay.
[1950.800s]  Yeah.
[1952.400s]  Perfect. She generates or my job or Japanese supplier generates then they can see it.
[1958.300s]  Um and then they from there it's just me sailing. Yeah.
[1964.800s]  okay, so we
[1966.700s]  do notifications for the customer and can you can we do email notifications for them? Yes.
[1977.300s]  Up. When a quote was submitted and then when tracking is provided or any changes, you just submit the quote through the comments and then change the status of it, I guess.
[1987.700s]  so submit, and then like,
[1991.400s]  I can put another status, that's says, well do you give them the quote and they invoice at the same time?
[1998.100s]  Or close except it and then you generate them voice. Yeah. Then we generate the voice. So I need to add a new status. That is quote sent or something, right? Oh, same thing.
[2010.700s]  He. Yeah. This system is the same. Yeah, yeah, right. Oh was doing before.
[2018.400s]  Well.
[2019.700s]  a waiting, quote means
[2022.100s]  Oh God. Yeah, that's like the first thing. Yeah, yeah, yeah. Yeah, that's automatically default. Yeah.
[2030.200s]  Yeah.
[2031.900s]  On everything that's. Yeah, that is, yeah, it's gonna be the default status until okay. So I'll just get rid of this submitted status and we'll just start with a waiting quote as the first status that it goes into cool, let me submit it.
[2046.400s]  Okay.
[2048.400s]  That looks great Jared. Thank you. Like how you nail everything? I ask
[2053.700s]  appreciate it.
[2055.100s]  Yeah, so we'll get as soon as I get done everything that we've talked about here, I'll send you over the invoice for the initial stuff. I'll get working on the initial, the internationalization.
[2068s]  For the Japanese supplier and bill you for that separately. And then yeah, we'll just say one month from today or, you know, you know, whatever we'll say March, you know, by the end of the March we'll be included in terms of Maintenance and, you know, minor feature updates and then we'll decide again, we'll decide that in March how we want to move forward with it. Okay? Hopefully we'll have a better picture of how things work and if you guys happy with it or not. So,
[2094.900s]  Perfect Dark mode. Yeah. Easy I'll have that. I almost got to it today but ran out of time. I I do dark mode on everything too, so don't even worry. Yeah, same. So sorry about that. No good. Or are you doing?
[2113s]  Everything seems pretty clear. Okay, cool? What's your role going to be in this turtle's worth
[2120.700s]  What was that? He's gonna sorry. So he's gonna be like Taylor. Um,
[2125.800s]  Does each different profile have their own?
[2129.200s]  Order list view, by chance, Jared hasn't combined.
[2135.200s]  It's all combined.
[2137.300s]  okay, um, since we're gonna
[2139.600s]  Slowly, the goal is to eventually have multiple tailors, right? Because the program was really big. I want to be able to have these orders separated between the different colors as we call them because they all get paid off their the sales for Chinese and Korean. So be nice to be able to distinguish shoes orders who based on the customer that they
[2160.800s]  on boarded and signed with the program. So, the other one out and signed five, distinct people those five state with her.
[2168.300s]  Um, she gets the payment. She, you know, she gets paid off for those five because they signed up with her right. And she manages all their orders. Yes. And then if he's still nice to have Jared, be able to see the view too because then if Taylor's out for two weeks, I'd be nice to have Jared as back up to help him. Yeah. The spots right? No. We can definitely do that. Um, what I would do is I would add another filter that's just like account owner and then when they sign up, like, we'd probably have another view, that's like a customer's view. Yeah, that might be good to have any way just to see, like, who's logged in and what their orders and stuff are like a user's view. Yeah. And then we would have a filter that would just be on by default that would be like, hey only show me my customers. Yeah. But you could have a, you know, obviously you could unselect that filter to see all of them but that would be on by default is that kind of what you would want. Yeah, that's that's perfect yeah. That's like a medium sized feature. I would say that that's like
[2223.900s]  Less maybe about the same size as internationalization but like we'd figure that out too. Depending on how you guys want to manage that and how automatic or manual you want to be look. Okay, let's sold the Air. National one would take you. I mean how long would it take you just so what have we? I guess. You said. It's not
[2245.500s]  I'm curious if she has like a browser plugin on her and then just tries to translate everything maybe I could. I mean, let me work on it for like an hour and let you know at the end of that, if I'm like halfway done or like, okay, not so much done, I don't think that that user one would take me longer like it as long as it's defined. I don't think that would take me longer than an hour, maybe hour and a half. Okay. And I guess the customers need to be able to be assigned to kill managers. Right? So that's yeah, right. But I mean we could just load in all of the because would they already have a Shopify account?
[2278.300s]  The members the wholesale. Yeah, the people that you're signing up.
[2283.600s]  Yeah, they they're required to have Shopify or shop account.
[2288.800s]  So I could automatically import all of the users from the Shopify just regularly and then you would have another view here as the admin that just says like, hey, you're my user and you're, you know, that we would, we would manage it internally if that's okay. Yeah. Totally
[2304.500s]  So as far as what reports you guys want in terms of like how many orders and stuff, like I would probably just do the filter and then take screenshots or something. We could add reporting functionality to in the future. If we want it, it's not big deal.
[2317.400s]  So yeah, do you want me to work on the internationalization first after I get the current bugs and stuff done or do you want me to work on the account management like ownership stuff to account management first? Okay,
[2331.600s]  And then let me talk to my Japanese supplier, to see if we just showed her, what is what she could never get without?
[2338.300s]  A full-on Japanese version because she knows English just not very well. Yeah, that's okay. Honestly I'm gonna pipe it into Claude it's just depends on how like Chachi BT and stuff and depends on how good it is. I don't know Japanese, so I can't validate it super easily so that's why I was gonna take me longer. Gotcha.
[2357.700s]  Do you have anybody on staff? That could help me like Emery to see?
[2363.200s]  Not right now, just curious.
[2369.800s]  I'll get its crispy son. That helps us with the Translating when we talked to her, so I can ask him. He can
[2376.900s]  Yeah, it would just be like hey look this over and tell me if I got anything glaring here. Yeah, yeah I mean you can send screenshots and me. Yeah, right. Yeah, yeah as far as account managers. So that's gonna be like these admins and stuff are there just those two at first? Jared and Taylor, Jared, Taylor and my Japanese supplier, right? Okay, got it.
[2399.200s]  But she automatically gets all of the Japanese orders, right? Yeah. Yeah. And not like broken up by customer and then tailor, and Jack would be broken up by customer. Correct. Regardless of what, how? Yeah. Okay. Cool. All right.
[2414s]  I can do that.
[2416.300s]  Cool. Anything else Taylor Jared?
[2420.300s]  No. I think you covered quite a bit. Yeah, yeah. This is a lot. Send me all these emails for what you want to log into. I am Gonna Leave This up. Oh, as far as domains, you care. Should I just leave it at this web app or just
[2434.700s]  We can leave it like that for now, okay?
[2437.500s]  there's no, because
[2438.900s]  Yeah, we have a separate, LLC, we're spinning up for all this, that way, it doesn't muddy coma, right?
[2445.100s]  Yeah, I'll just leave it on branded for now with all the stuff till you guys and then when are you targeting actually getting it like using and stuff? Obviously it's going to depend on how quickly I can get stuff fixed, but I think I can do that all in the next week. I think yes. Whenever you're ready. It's not a there's no time framework.
[2462.900s]  On a reach.
[2464.400s]  Okay.
[2465.800s]  Great.
[2467s]  Um, there are products. Yeah, sorry, no I think we're good. We can we get into their? Thank you guys.
[2472.800s]  Third. Yeah, tell jar, I'll pick you guys on site, actually.
[2477s]  All right, thanks, okay. Sounds good.
[2480.100s]  But yeah, bye.
